epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,775.297,1.53287,1.71685,1.57867,0.57335,0.51724,0.5403,0.29218,1.66516,1.64038,1.53319,0.0095941,0.0095941,0.0095941
43,795.127,1.55048,1.73224,1.60932,0.59769,0.45916,0.48054,0.27281,1.641,1.85023,1.48382,0.0095842,0.0095842,0.0095842
44,814.739,1.52756,1.73257,1.59171,0.55349,0.55542,0.5235,0.27267,1.72024,1.71315,1.57875,0.0095743,0.0095743,0.0095743
45,834.516,1.53953,1.6981,1.60837,0.5043,0.44052,0.45824,0.25334,1.65518,1.75499,1.5511,0.0095644,0.0095644,0.0095644
46,854.125,1.51618,1.69745,1.58359,0.66713,0.41979,0.48324,0.26137,1.6622,1.77371,1.52396,0.0095545,0.0095545,0.0095545
47,874.101,1.53301,1.68664,1.58274,0.52198,0.51167,0.49776,0.25819,1.68933,1.6715,1.55999,0.0095446,0.0095446,0.0095446
48,893.916,1.51561,1.72336,1.58053,0.56182,0.45379,0.47691,0.27121,1.66569,1.71018,1.56937,0.0095347,0.0095347,0.0095347
49,913.536,1.50738,1.69146,1.57392,0.55367,0.45106,0.50455,0.27656,1.6131,1.76783,1.45999,0.0095248,0.0095248,0.0095248
50,933.453,1.48478,1.65309,1.56098,0.56823,0.43762,0.47776,0.26583,1.67699,1.73167,1.52741,0.0095149,0.0095149,0.0095149
51,953.357,1.50103,1.67314,1.56556,0.51841,0.51872,0.51102,0.27702,1.66484,1.73968,1.51246,0.009505,0.009505,0.009505
52,972.688,1.48972,1.63872,1.55625,0.47384,0.52861,0.50457,0.27627,1.63079,1.68664,1.533,0.0094951,0.0094951,0.0094951
53,992.092,1.4848,1.63406,1.56348,0.59547,0.50402,0.54052,0.30743,1.59882,1.60695,1.52596,0.0094852,0.0094852,0.0094852
54,1011.79,1.49103,1.64418,1.56256,0.45244,0.57542,0.47784,0.25458,1.61238,1.72974,1.51803,0.0094753,0.0094753,0.0094753
55,1031.7,1.46864,1.60138,1.54543,0.57463,0.49336,0.51255,0.28049,1.5549,1.616,1.44236,0.0094654,0.0094654,0.0094654
56,1051.47,1.48186,1.61123,1.55369,0.62419,0.50201,0.52848,0.3109,1.51236,1.63002,1.42554,0.0094555,0.0094555,0.0094555
57,1071.51,1.46742,1.53533,1.52561,0.49761,0.48248,0.4718,0.25984,1.7159,1.72122,1.53664,0.0094456,0.0094456,0.0094456
58,1091.7,1.45577,1.56349,1.52568,0.66617,0.46726,0.53767,0.30493,1.58261,1.59153,1.47329,0.0094357,0.0094357,0.0094357
59,1112.18,1.44778,1.5215,1.52925,0.46934,0.56126,0.52571,0.30376,1.60462,1.54386,1.46611,0.0094258,0.0094258,0.0094258
60,1132.17,1.47247,1.5912,1.53924,0.48978,0.53687,0.52137,0.30448,1.59474,1.60946,1.47401,0.0094159,0.0094159,0.0094159
61,1152.2,1.45587,1.54138,1.52916,0.51974,0.53561,0.53026,0.29234,1.60938,1.65278,1.47341,0.009406,0.009406,0.009406
62,1172.16,1.42513,1.50371,1.5039,0.48894,0.54508,0.507,0.28819,1.51671,1.57087,1.40783,0.0093961,0.0093961,0.0093961
63,1192.53,1.46031,1.52214,1.52386,0.60551,0.5253,0.53299,0.2985,1.61345,1.67683,1.45236,0.0093862,0.0093862,0.0093862
64,1212.71,1.46047,1.53383,1.5132,0.59399,0.55014,0.54767,0.30472,1.53761,1.58707,1.39412,0.0093763,0.0093763,0.0093763
65,1232.6,1.43244,1.48692,1.50875,0.54724,0.52823,0.53608,0.311,1.46939,1.58196,1.39997,0.0093664,0.0093664,0.0093664
66,1252.74,1.40902,1.47084,1.49233,0.54052,0.58003,0.56345,0.31911,1.54922,1.58838,1.4339,0.0093565,0.0093565,0.0093565
67,1272.75,1.44024,1.5059,1.50443,0.49814,0.55581,0.52198,0.2929,1.52117,1.66587,1.43446,0.0093466,0.0093466,0.0093466
68,1292.52,1.41977,1.49751,1.49894,0.64636,0.51025,0.55947,0.31844,1.4974,1.62812,1.4179,0.0093367,0.0093367,0.0093367
69,1312.45,1.4276,1.47359,1.5074,0.58307,0.53822,0.54552,0.31965,1.54591,1.57766,1.42615,0.0093268,0.0093268,0.0093268
70,1332.76,1.42901,1.45561,1.501,0.5722,0.56035,0.56166,0.30024,1.48374,1.58902,1.39383,0.0093169,0.0093169,0.0093169
71,1352.87,1.42775,1.46385,1.50361,0.65048,0.51822,0.57446,0.34268,1.54153,1.47138,1.42558,0.009307,0.009307,0.009307
72,1372.51,1.39514,1.4106,1.46564,0.54387,0.5955,0.58065,0.33126,1.52919,1.52266,1.42354,0.0092971,0.0092971,0.0092971
73,1392.89,1.42274,1.45508,1.49122,0.60398,0.52263,0.5527,0.32676,1.53828,1.54386,1.41898,0.0092872,0.0092872,0.0092872
